service,attack_type,total_freq,mean_duration,total_failed_logins,total_file_creations,total_root_attempts,total_root_acceses
private,neptune.,101317,0,0,0,0,0
http,back.,2203,0.13,0,0,0,0
other,satan.,1221,0,0,0,0,0
private,portsweep.,725,1915.81,0,0,0,0
ftp_data,warezclient.,708,403.71,0,0,0,0
ftp,warezclient.,307,1063.79,0,0,0,0
other,portsweep.,260,1058.22,0,0,0,0
telnet,neptune.,197,0,0,0,0,0
http,neptune.,192,0,0,0,0,0
finger,neptune.,177,0,0,0,0,0
private,satan.,170,0.05,0,0,0,0
ftp_data,neptune.,170,0,0,0,0,0
csnet_ns,neptune.,123,0,0,0,0,0
smtp,neptune.,120,0,0,0,0,0
remote_job,neptune.,118,0,0,0,0,0
pop_3,neptune.,118,0,0,0,0,0
discard,neptune.,115,0,0,0,0,0
iso_tsap,neptune.,115,0,0,0,0,0
systat,neptune.,113,0,0,0,0,0
domain,neptune.,112,0,0,0,0,0
gopher,neptune.,112,0,0,0,0,0
shell,neptune.,111,0,0,0,0,0
echo,neptune.,111,0,0,0,0,0
sql_net,neptune.,109,0,0,0,0,0
rje,neptune.,108,0,0,0,0,0
auth,neptune.,108,0,0,0,0,0
whois,neptune.,107,0,0,0,0,0
courier,neptune.,107,0,0,0,0,0
printer,neptune.,107,0,0,0,0,0
bgp,neptune.,106,0,0,0,0,0
nntp,neptune.,106,0,0,0,0,0
klogin,neptune.,106,0,0,0,0,0
netbios_ssn,neptune.,106,0,0,0,0,0
mtp,neptune.,105,0,0,0,0,0
imap4,neptune.,105,0,0,0,0,0
nnsp,neptune.,105,0,0,0,0,0
uucp_path,neptune.,105,0,0,0,0,0
ftp,neptune.,104,0,0,0,0,0
uucp,neptune.,104,0,0,0,0,0
sunrpc,neptune.,104,0,0,0,0,0
time,neptune.,103,0,0,0,0,0
login,neptune.,102,0,0,0,0,0
daytime,neptune.,102,0,0,0,0,0
efs,neptune.,102,0,0,0,0,0
ssh,neptune.,102,0,0,0,0,0
hostnames,neptune.,102,0,0,0,0,0
ldap,neptune.,101,0,0,0,0,0
supdup,neptune.,101,0,0,0,0,0
netbios_ns,neptune.,101,0,0,0,0,0
vmnet,neptune.,101,0,0,0,0,0
pop_2,neptune.,101,0,0,0,0,0
netbios_dgm,neptune.,99,0,0,0,0,0
private,nmap.,99,0,0,0,0,0
link,neptune.,99,0,0,0,0,0
exec,neptune.,99,0,0,0,0,0
http_443,neptune.,98,0,0,0,0,0
kshell,neptune.,98,0,0,0,0,0
name,neptune.,97,0,0,0,0,0
ctf,neptune.,96,0,0,0,0,0
netstat,neptune.,92,0,0,0,0,0
other,neptune.,91,0,0,0,0,0
Z39_50,neptune.,91,0,0,0,0,0
private,ipsweep.,68,0,0,0,0,0
telnet,guess_passwd.,53,2.72,56,0,0,0
telnet,buffer_overflow.,21,130.67,0,15,0,5
finger,land.,20,0,0,0,0,0
ftp_data,warezmaster.,18,8.06,0,0,0,0
imap4,imap.,12,6,0,0,0,16
ftp_data,buffer_overflow.,8,0,0,0,0,0
other,warezclient.,5,3031,0,0,0,0
telnet,rootkit.,5,197.4,1,2,0,25
telnet,loadmodule.,5,63.8,0,9,0,3
http,phf.,4,4.5,0,0,0,0
supdup,portsweep.,4,10171.5,0,0,0,0
ftp_data,ftp_write.,4,0,0,0,0,1
vmnet,portsweep.,4,0,0,0,0,0
ftp_data,multihop.,3,0.33,0,0,0,0
ftp,portsweep.,3,0,0,0,0,0
csnet_ns,portsweep.,3,13484,0,0,0,0
ftp_data,ipsweep.,3,0,0,0,0,0
ftp_data,satan.,3,0,0,0,0,0
pop_3,portsweep.,3,13446.33,0,0,0,0
gopher,ipsweep.,3,4.33,0,0,0,0
telnet,perl.,3,41.33,0,6,0,6
http,portsweep.,3,13689.67,0,0,0,0
ftp_data,loadmodule.,3,0,0,0,0,0
finger,satan.,3,1,0,0,0,0
http,ipsweep.,3,2,0,0,0,0
printer,portsweep.,2,15467.5,0,0,0,0
ftp,warezmaster.,2,78,0,22,0,0
rje,ipsweep.,2,0,0,0,0,0
smtp,satan.,2,0.5,0,0,0,0
sunrpc,portsweep.,2,0,0,0,0,0
http,satan.,2,0,0,0,0,0
ftp_data,portsweep.,2,21224,0,0,0,0
X11,satan.,2,0,0,0,0,0
systat,portsweep.,2,0,0,0,0,0
mtp,ipsweep.,2,0,0,0,0,0
ftp,multihop.,2,185.5,0,2,0,0
telnet,spy.,2,318,0,1,1,0
whois,portsweep.,2,2,0,0,0,0
time,ipsweep.,2,1,0,0,0,0
telnet,multihop.,2,458,0,8,0,93
netstat,portsweep.,2,0,0,0,0,0
smtp,portsweep.,2,0,0,0,0,0
telnet,portsweep.,2,0,0,0,0,0
ftp,ftp_write.,2,29,0,2,0,0
login,ftp_write.,2,100.5,0,0,0,1
link,ipsweep.,2,0,0,0,0,0
uucp_path,portsweep.,1,4,0,0,0,0
echo,portsweep.,1,0,0,0,0,0
ssh,portsweep.,1,0,0,0,0,0
ftp_data,rootkit.,1,0,0,0,0,2
uucp,satan.,1,0,0,0,0,0
ftp,buffer_overflow.,1,7,0,4,0,0
finger,portsweep.,1,2,0,0,0,0
telnet,ipsweep.,1,6,0,0,0,0
nntp,nmap.,1,0,0,0,0,0
gopher,portsweep.,1,0,0,0,0,0
IRC,satan.,1,0,0,0,0,0
ftp,loadmodule.,1,7,0,4,0,0
telnet,satan.,1,3,0,0,0,0
whois,ipsweep.,1,0,0,0,0,0
ftp,ipsweep.,1,2,0,0,0,0
name,ipsweep.,1,0,0,0,0,0
nntp,satan.,1,5,0,0,0,0
netstat,satan.,1,0,0,0,0,0
pm_dump,satan.,1,0,0,0,0,0
finger,ipsweep.,1,2,0,0,0,0
pop_3,satan.,1,5,0,0,0,0
uucp,portsweep.,1,30418,0,0,0,0
netbios_ssn,portsweep.,1,0,0,0,0,0
remote_job,portsweep.,1,0,0,0,0,0
link,portsweep.,1,0,0,0,0,0
remote_job,ipsweep.,1,0,0,0,0,0
ftp,rootkit.,1,21,0,1,0,0
vmnet,satan.,1,0,0,0,0,0
discard,satan.,1,11,0,0,0,0
telnet,nmap.,1,0,0,0,0,0
rje,portsweep.,1,1,0,0,0,0
ftp,satan.,1,8,0,0,0,0
gopher,satan.,1,2,0,0,0,0
ctf,nmap.,1,0,0,0,0,0
netbios_ns,portsweep.,1,0,0,0,0,0
courier,portsweep.,1,30619,0,0,0,0
ssh,ipsweep.,1,6,0,0,0,0
domain,ipsweep.,1,6,0,0,0,0
efs,portsweep.,1,30835,0,0,0,0
Z39_50,portsweep.,1,0,0,0,0,0
hostnames,portsweep.,1,0,0,0,0,0
http_443,portsweep.,1,0,0,0,0,0
sunrpc,satan.,1,11,0,0,0,0
hostnames,satan.,1,0,0,0,0,0
pop_3,nmap.,1,0,0,0,0,0
smtp,ipsweep.,1,0,0,0,0,0
telnet,land.,1,0,0,0,0,0
sql_net,portsweep.,1,0,0,0,0,0
daytime,portsweep.,1,0,0,0,0,0
